var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
165,1,1014.7913525128614,1014.7913525128614,1014.7913525128614,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0165_iter0000_d000165.csv,0,1014.7913525128614
617,1,1014.8047702717602,1014.8047702717602,1014.8047702717602,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0617_iter0000_d000617.csv,0,1014.8047702717602
556,1,1014.8127617334553,1014.8127617334553,1014.8127617334553,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0556_iter0000_d000556.csv,0,1014.8127617334553
457,1,1014.8219563416056,1014.8219563416056,1014.8219563416056,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0457_iter0000_d000457.csv,0,1014.8219563416056
464,1,1014.8242798489848,1014.8242798489848,1014.8242798489848,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0464_iter0000_d000464.csv,0,1014.8242798489848
599,1,1014.8349947283406,1014.8349947283406,1014.8349947283406,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0599_iter0000_d000599.csv,0,1014.8349947283406
693,1,1014.8379571228475,1014.8379571228475,1014.8379571228475,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0693_iter0000_d000693.csv,0,1014.8379571228475
232,1,1014.839757859908,1014.839757859908,1014.839757859908,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0232_iter0000_d000232.csv,0,1014.839757859908
448,1,1014.8416481504285,1014.8416481504285,1014.8416481504285,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0448_iter0000_d000448.csv,0,1014.8416481504285
470,1,1014.8454307551426,1014.8454307551426,1014.8454307551426,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0470_iter0000_d000470.csv,0,1014.8454307551426
542,1,1014.8555290689577,1014.8555290689577,1014.8555290689577,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0542_iter0000_d000542.csv,0,1014.8555290689577
199,1,1014.8573823830017,1014.8573823830017,1014.8573823830017,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0199_iter0000_d000199.csv,0,1014.8573823830017
611,1,1014.8640710616669,1014.8640710616669,1014.8640710616669,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0611_iter0000_d000611.csv,0,1014.8640710616669
245,1,1014.8660802909789,1014.8660802909789,1014.8660802909789,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0245_iter0000_d000245.csv,0,1014.8660802909789
593,1,1014.8724286589987,1014.8724286589987,1014.8724286589987,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0593_iter0000_d000593.csv,0,1014.8724286589987
513,1,1014.8739349205279,1014.8739349205279,1014.8739349205279,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0513_iter0000_d000513.csv,0,1014.8739349205279
182,1,1014.8816833529387,1014.8816833529387,1014.8816833529387,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0182_iter0000_d000182.csv,0,1014.8816833529387
524,1,1014.8873327304109,1014.8873327304109,1014.8873327304109,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0524_iter0000_d000524.csv,0,1014.8873327304109
143,1,1014.8907733689927,1014.8907733689927,1014.8907733689927,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0143_iter0000_d000143.csv,0,1014.8907733689927
255,1,1014.8910653177398,1014.8910653177398,1014.8910653177398,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0255_iter0000_d000255.csv,0,1014.8910653177398
446,1,1014.8920135880277,1014.8920135880277,1014.8920135880277,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0446_iter0000_d000446.csv,0,1014.8920135880277
114,1,1014.894057868229,1014.894057868229,1014.894057868229,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0114_iter0000_d000114.csv,0,1014.894057868229
275,1,1014.8991531366612,1014.8991531366612,1014.8991531366612,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0275_iter0000_d000275.csv,0,1014.8991531366612
160,1,1014.9000449599969,1014.9000449599969,1014.9000449599969,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0160_iter0000_d000160.csv,0,1014.9000449599969
584,1,1014.9065549504523,1014.9065549504523,1014.9065549504523,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0584_iter0000_d000584.csv,0,1014.9065549504523
433,1,1014.9158872669311,1014.9158872669311,1014.9158872669311,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0433_iter0000_d000433.csv,0,1014.9158872669311
691,1,1014.9166940169345,1014.9166940169345,1014.9166940169345,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0691_iter0000_d000691.csv,0,1014.9166940169345
523,1,1014.9200487261866,1014.9200487261866,1014.9200487261866,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0523_iter0000_d000523.csv,0,1014.9200487261866
44,1,1014.9314457447093,1014.9314457447093,1014.9314457447093,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0044_iter0000_d000044.csv,0,1014.9314457447093
42,1,1014.9318821671122,1014.9318821671122,1014.9318821671122,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0042_iter0000_d000042.csv,0,1014.9318821671122
4,1,1014.9334540311485,1014.9334540311485,1014.9334540311485,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0004_iter0000_d000004.csv,0,1014.9334540311485
89,1,1014.933946040704,1014.933946040704,1014.933946040704,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0089_iter0000_d000089.csv,0,1014.933946040704
34,1,1014.933998468064,1014.933998468064,1014.933998468064,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0034_iter0000_d000034.csv,0,1014.933998468064
