var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
1849,1,1012.2998068317082,1012.2998068317082,1012.2998068317082,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1849_iter0000_d001849.csv,0,1012.2998068317082
1585,1,1012.3004092686273,1012.3004092686273,1012.3004092686273,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1585_iter0000_d001585.csv,0,1012.3004092686273
2238,1,1012.3011640699283,1012.3011640699283,1012.3011640699283,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2238_iter0000_d002238.csv,0,1012.3011640699283
1882,1,1012.3013413786199,1012.3013413786199,1012.3013413786199,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1882_iter0000_d001882.csv,0,1012.3013413786199
534,1,1012.3015875588218,1012.3015875588218,1012.3015875588218,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0534_iter0000_d000534.csv,0,1012.3015875588218
2210,1,1012.3016737621214,1012.3016737621214,1012.3016737621214,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2210_iter0000_d002210.csv,0,1012.3016737621214
664,1,1012.3038292153906,1012.3038292153906,1012.3038292153906,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0664_iter0000_d000664.csv,0,1012.3038292153906
1073,1,1012.3148883358809,1012.3148883358809,1012.3148883358809,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1073_iter0000_d001073.csv,0,1012.3148883358809
1130,1,1012.3262577681688,1012.3262577681688,1012.3262577681688,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1130_iter0000_d001130.csv,0,1012.3262577681688
990,1,1013.1050918786896,1013.1050918786896,1013.1050918786896,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0990_iter0000_d000990.csv,0,1013.1050918786896
839,1,1013.1090697203172,1013.1090697203172,1013.1090697203172,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0839_iter0000_d000839.csv,0,1013.1090697203172
963,1,1013.1128218540447,1013.1128218540447,1013.1128218540447,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0963_iter0000_d000963.csv,0,1013.1128218540447
803,1,1013.123888414097,1013.123888414097,1013.123888414097,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0803_iter0000_d000803.csv,0,1013.123888414097
1119,1,1013.1270492046212,1013.1270492046212,1013.1270492046212,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1119_iter0000_d001119.csv,0,1013.1270492046212
110,1,1013.1352216917505,1013.1352216917505,1013.1352216917505,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0110_iter0000_d000110.csv,0,1013.1352216917505
1142,1,1013.136506139858,1013.136506139858,1013.136506139858,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1142_iter0000_d001142.csv,0,1013.136506139858
240,1,1013.1401901754808,1013.1401901754808,1013.1401901754808,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0240_iter0000_d000240.csv,0,1013.1401901754808
399,1,1013.1445428402915,1013.1445428402915,1013.1445428402915,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0399_iter0000_d000399.csv,0,1013.1445428402915
156,1,1013.1445661391823,1013.1445661391823,1013.1445661391823,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0156_iter0000_d000156.csv,0,1013.1445661391823
306,1,1013.1452290385,1013.1452290385,1013.1452290385,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0306_iter0000_d000306.csv,0,1013.1452290385
339,1,1013.1454562185511,1013.1454562185511,1013.1454562185511,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0339_iter0000_d000339.csv,0,1013.1454562185511
205,1,1013.1458206449499,1013.1458206449499,1013.1458206449499,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0205_iter0000_d000205.csv,0,1013.1458206449499
196,1,1013.1461522021258,1013.1461522021258,1013.1461522021258,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0196_iter0000_d000196.csv,0,1013.1461522021258
178,1,1013.1465894541251,1013.1465894541251,1013.1465894541251,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0178_iter0000_d000178.csv,0,1013.1465894541251
61,1,1013.1490011909789,1013.1490011909789,1013.1490011909789,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0061_iter0000_d000061.csv,0,1013.1490011909789
406,1,1013.1493194736048,1013.1493194736048,1013.1493194736048,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0406_iter0000_d000406.csv,0,1013.1493194736048
617,1,1013.1494715375986,1013.1494715375986,1013.1494715375986,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0617_iter0000_d000617.csv,0,1013.1494715375986
228,1,1013.1494721861129,1013.1494721861129,1013.1494721861129,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0228_iter0000_d000228.csv,0,1013.1494721861129
929,1,1013.1497237961107,1013.1497237961107,1013.1497237961107,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0929_iter0000_d000929.csv,0,1013.1497237961107
144,1,1013.1504333924645,1013.1504333924645,1013.1504333924645,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0144_iter0000_d000144.csv,0,1013.1504333924645
25,1,1013.1510658004506,1013.1510658004506,1013.1510658004506,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0025_iter0000_d000025.csv,0,1013.1510658004506
219,1,1013.1513268747956,1013.1513268747956,1013.1513268747956,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0219_iter0000_d000219.csv,0,1013.1513268747956
114,1,1013.1517801195303,1013.1517801195303,1013.1517801195303,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0114_iter0000_d000114.csv,0,1013.1517801195303
179,1,1013.151791068889,1013.151791068889,1013.151791068889,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0179_iter0000_d000179.csv,0,1013.151791068889
83,1,1013.1530360627563,1013.1530360627563,1013.1530360627563,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0083_iter0000_d000083.csv,0,1013.1530360627563
434,1,1013.1533053446137,1013.1533053446137,1013.1533053446137,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0434_iter0000_d000434.csv,0,1013.1533053446137
100,1,1013.1542721766867,1013.1542721766867,1013.1542721766867,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0100_iter0000_d000100.csv,0,1013.1542721766867
195,1,1013.154594752671,1013.154594752671,1013.154594752671,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0195_iter0000_d000195.csv,0,1013.154594752671
85,1,1013.1582814094087,1013.1582814094087,1013.1582814094087,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0085_iter0000_d000085.csv,0,1013.1582814094087
50,1,1013.1585994528824,1013.1585994528824,1013.1585994528824,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0050_iter0000_d000050.csv,0,1013.1585994528824
607,1,1013.1590448239853,1013.1590448239853,1013.1590448239853,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0607_iter0000_d000607.csv,0,1013.1590448239853
141,1,1013.163710092035,1013.163710092035,1013.163710092035,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0141_iter0000_d000141.csv,0,1013.163710092035
1087,1,1013.1679361027662,1013.1679361027662,1013.1679361027662,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1087_iter0000_d001087.csv,0,1013.1679361027662
520,1,1013.1710626247132,1013.1710626247132,1013.1710626247132,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0520_iter0000_d000520.csv,0,1013.1710626247132
463,1,1013.171532192321,1013.171532192321,1013.171532192321,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0463_iter0000_d000463.csv,0,1013.171532192321
692,1,1013.1720959667823,1013.1720959667823,1013.1720959667823,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0692_iter0000_d000692.csv,0,1013.1720959667823
1703,1,1013.1725506411889,1013.1725506411889,1013.1725506411889,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1703_iter0000_d001703.csv,0,1013.1725506411889
1924,1,1013.1738022357666,1013.1738022357666,1013.1738022357666,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1924_iter0000_d001924.csv,0,1013.1738022357666
